,autor,edicao,link,resumo,tipo_trabalho,titulo
1073,"
								Letícia B. Costa
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/619,"
					Discutem-se os resultados de análise feita sobre a informação da ocupação, em conexão com os eventos vitais, no registro civil do Estado de São Paulo, nas últimas décadas. São consideradas as fases de coleta, limpeza de dados, codificação e processamento, e analisadas as tabelas de saída. A evidência sugere a não existência de séries históricas de ocupação. Sugere-se que sejam iniciadas séries históricas com base na Classificação Brasileira de Ocupações (CBO), que está em uso desde 1977 para codificação dos óbitos. Sua adaptação aos usos do registro civil terá que seguir duas linhas: a) separação da PEA da população inativa, mediante a introdução de códigos novos para os diferentes grupos de inativos; b) aproveitamento e conservação de qualquer informação disponível no tocante à ocupação, mesmo quando insuficiente para classificação pela CBO; isto se fará com um novo conjunto de códigos, introduzidos na estrutura da CBO.
				","
									Artigos originais
						","
		A questão da ocupação no registro civil
	"
1074,"
								Sonia Maria Giacomini
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/620,"
					Dirigido às ""senhoras brazileiras"", o jornal ""Mãi de Família"" (RJ, 1979-1888) veicula matérias de cunho ético-normativo nas quais a aparente centralidade da criança é acionada para permitir a emergência da categoria mãe. O processo de individualização no interior da família e o acesso à valorização social encontram-se para a mulher inextricávelmente ligados à maternidade entendida como um conjunto de devedes de mãe. A emergência da identidade mãe redefine um conjunto de relações e constitui o eixo sobre o qual se erige uma nova família. No ""Mãi de Família"" encontra-se construído um modelo de mulher no qual as recorrentes diferenciações entre senhora e escrava/proletária sugerem que, apesar de modelo que se pretende universal e validável para todas as mulheres, eles se constitui, na realidade, em apanágio da mulher das camadas dominantes, oferecendo-se, portanto, também como marca de diferenciação social e cultural.
				","
									Artigos originais
						","
		A conversão da mulher em mãe: uma leitura do ""a mãi de família""
	"
1075,"
								Zulmara Clara Sauner Posse
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/621,"
					A questão das populações pré-históricas encontra-se neste trabalho associada à análise conjunta da depopulação indígena. Dois momentos caracterizam a abordagem. No primeiro, a revisão bibliográfica para a América evidencia como a combinação de métodos e técnicas arqueológicas e históricas tem permitido analisar a população pré-colombiana no período imediatamente anterior à conquista. Demonstra o processo catastrófico da depopulação indígena, a partir da ocupação européia. No segundo momento, coloca a problemática da metodologia empregada através da paleodemografia, na avaliação das populações pré-históricas que não tiveram contato com sociedades históricas. Mostra como estas avaliações mantêm relações complexas com a estrutura social dos grupos, interferindo na análise. Procura, utilizando cálculos, obter a população de sítios pré-históricos do tipo sambaqui, no Paraná.
				","
									Artigos originais
						","
		Estudos de população pré-histórica
	"
1076,"
								Altiva Pilatti Balhana
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/622,,"
									Resenha
						","
		Pour la démogrphie historique e histoire de la démographie
	"
1077,"
								Violeta Refkalefsky Loureiro
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/623,,"
									Resumo de Pesquisas Concluídas
						","
		Capitalismo na Amazônia: utopia (e miséria) da ascensão social
	"
1078,"
								Daniel Hogan
							","
				v. 2 n. 1 (1985)
			",https://rebep.org.br/revista/article/view/624,"
					Este ensaio analisa as dificuldades metodológicas das tentativas de compreender as consequências demográficas da crise econômica que se instalou no Brasil no final de 1980. Detém-se em três principais questões: (1) o determinismo econômico que permeia essa discussão; (2) os limites do arsenal analítico, desenvolvido justamente para abstrair fenômenos de curto prazo; e (3) a falta de dados apropriados e atualizados. Conclui-se com uma advertência quanto à necessidade de analisar simultaneamente a dinâmica demográfica no longo e curto prazo. É preciso incluir nos trabalhos teórico-metodológicos que visam a compreensão da transição demográfica brasileira, a preocupação com fenômenos de curto prazo, para distingui-los das transformações seculares, e para avaliar a sua importância em retardar, acelerar, ou redirecionar essas transformações.
				","
									Artigos originais
						","
		Demografia e Conjuntura: Reflexões Metodológicas
	"
1079,"
								Jane Souto de Oliveira
							","
				v. 2 n. 1 (1985)
			",https://rebep.org.br/revista/article/view/625,"
					O presente artigo procura levantar alguns aspectos da evolução das favelas do Rio de Janeiro, ao longo das últimas décadas, enfatizando a melhoria de seus padrões habitacionais, a crescente diversificação de suas atividades sócio-econômicas e a consequente valorização de seu espaço interno e os eventuais desdobramentos da regularização da situação fiduciária, como etapa final de um processo de ""desfavelização"", através do qual as favelas perderiam não apenas as características visíveis (construção rústica, ausência ou precariedade de infra-estrutura etc...) mas também a característica invisível (ocupação ilegal do solo) que historicamente serviram para definí-las, enquanto tais.
				","
									Artigos originais
						","
		Repensando a questão das favelas
	"
1080,"
								José Alberto Magno de Carvalho
							","
				v. 2 n. 1 (1985)
			",https://rebep.org.br/revista/article/view/626,"
					Nos Censos Demográficos de 1970 e 1980 há diversos dados referentes ao fenômeno migratório até agora pouco explorados. O censo de 1980 introduziu novos quesitos, e em seu plano tabular não foram adotados exatamente os mesmos critérios usados na publicação do Censo de 1970, o que coloca dificuldades para compatibilização de dados e comparabilidade temporal. Sugerem-se procedimentos para minimizar estas lacunas. O grande avanço em 1980 foi a introdução de quesito relacionado às migrações intramunicipais. No entanto, as respostas referem-se a migração intramunicipal da década e, para adicioná-la às estimativas de outros tipos de migração, visando evitar dupla contagem. Apresentam-se para três Estados da Federação (PE, MG e SP) estimativas de migrações internas referentes às décadas de 60 e 70. Chama-se atenção para o diferente conceito implícito nas estimativas obtidas por mensuração direta ou indireta.
				","
									Artigos originais
						","
		Estimativas indiretas e dados sobre migrações: uma avaliação conceitual e metodológica das informações censitárias recentes
	"
1081,"
								Laura L. Rodriguez Wong
							","
				v. 2 n. 1 (1985)
			",https://rebep.org.br/revista/article/view/627,"
					Analisa-se a tendência da fecundidade no estado de São Paulo no período de 1960-80, a partir dos Censos e do registro Civil. A TFT mostra uma tendência de queda: passa de 4,69 em 1960 para 3,40 em 1980. No entanto, este último valor se mantém constante desde 1975, o que não contradiz a queda registrada nos últimos 20 anos, já que a desaceleração em 1980 seria uma resposta à brusca diminuição registrada entre 1970-75. Esta observação apoia-se no seguimento feito às diversas coortes de mulheres em idade fértil no período 1960-80. A estabilidade do quinquênio 1975-80 é explicada por um aumento da ordem de 10% na fecundidade da população natural do Estado, um aumento da proporção de migrantes e uma melhora nos níveis de mortalidade, favorecendo mais as mulheres em idade reprodutiva. Tomando como referência a conjuntura econômico-social do Estado e os dados de nascimento dos primeiros anos da década de 80, espera-se que continue a tendência de queda da fecundidade.
				","
									Artigos originais
						","
		Tendência recente da fecundidade no Estado de São Paulo
	"
1082,"
								Maria Coleta F. A. de Oliveira
							","
				v. 2 n. 1 (1985)
			",https://rebep.org.br/revista/article/view/628,"
					A partir de um objetivo maior de reconstrução das trajetórias individuais e estratégias familiares de mulheres engajadas no trabalho agrícola no Município paulista de Pederneiras, é focalizado um momento particular, o do casamento. O casamento constitui evento particularmente crítico na vida das pessoas e de suas famílias, explicitando-se em função dele alguns dos interesses fundamentais que cimentam a vida doméstica. A análise destes interesses divergentes permite divisar uma imagem bastante complexa da vida familiar, imagem em que conflito e coesão aparecem como faces de uma mesma moeda. Além disso, evidencia-se o modo como o tempo histórico interfere no tempo individual e familiar, estruturando a cada momento alternativas de vida desiguais. Nesse sentido, mostra-se como as transformações na agricultura da região, ao definirem determinadas possibilidades de ganhar a vida, ocasionarem mudanças no significado do casamento como alternativa para a mulher das classes subalternas.
				","
									Artigos originais
						","
		O casamento e as estratégias de sobrevivência da família operária na agricultura paulista
	"
